"","weeknr","area","year","fit","lower","upper"
"1",1,2,2016,22.7414111356402,20.39511660248,25.3576280302969
"2",2,2,2016,21.1693544531726,19.0580556536056,23.5145481842098
"3",3,2,2016,19.0778874100729,17.0857563566152,21.3022929997769
"4",4,2,2016,16.727698921323,15.0865342730505,18.5473950569465
"5",5,2,2016,14.6410115483982,12.9840503492941,16.5094260568687
"6",6,2,2016,13.1461398310333,11.6489214740107,14.8357934116607
"7",7,2,2016,12.287159295851,10.9783363641001,13.7520183891718
"8",8,2,2016,11.9867653331182,10.5577423698743,13.6092109579443
"9",9,2,2016,12.2165193812909,10.8438852567966,13.7629034482742
"10",10,2,2016,12.8879352364602,11.5011045558241,14.4419932757747
"11",11,2,2016,13.8794696149922,12.2854251229117,15.6803427529934
"12",12,2,2016,15.0407005957904,13.5149767261,16.7386654817784
"13",13,2,2016,16.1412133832562,14.4819696653839,17.9905617470372
"14",14,2,2016,16.8794040624649,15.0830184474754,18.8897389800413
"15",15,2,2016,17.0816250124917,15.4707217658834,18.8602650531038
"16",16,2,2016,16.8647094259505,15.1264374729797,18.8027368988766
"17",17,2,2016,16.4052281543345,14.7460071113857,18.2511447853545
"18",18,2,2016,15.969229562168,14.5458453087479,17.5318991365771
"19",19,2,2016,15.8721848291156,14.3694520649493,17.5320708201615
"20",20,2,2016,16.3769482745655,15.0012565695587,17.8787979223052
"21",21,2,2016,17.4099166583112,16.0840516401549,18.845077399069
"22",22,2,2016,18.7450688676463,17.2086184189676,20.4186994154923
"23",23,2,2016,20.1133258227489,18.7009363411566,21.6323861154344
"24",24,2,2016,21.2240979578484,19.7371955523723,22.8230162146922
"25",25,2,2016,21.7553031776,20.1887430787104,23.4434216386851
"26",26,2,2016,21.7963697877853,20.4258689992117,23.2588261456202
"27",27,2,2016,22.0468095026226,20.4956112675676,23.7154092600341
"28",28,2,2016,23.2385969674108,21.6562927652148,24.9365112888193
"29",29,2,2016,25.4334683550257,23.8462899520515,27.1262873120625
"30",30,2,2016,28.0868849102472,26.1104082579359,30.2129746945531
"31",31,2,2016,30.7103556323496,28.7716480542414,32.7796983088132
"32",32,2,2016,34.5091988408153,32.4370001444763,36.7137774557035
"33",33,2,2016,42.1619290657155,39.4450050482831,45.0659915080884
"34",34,2,2016,56.1805304357737,53.092418413821,59.448261999368
"35",35,2,2016,71.6376212183362,67.5580958879103,75.9634904799054
"36",36,2,2016,75.4448399338984,71.0338278451112,80.1297641605736
"37",37,2,2016,65.4384415113178,62.0220019829055,69.0430732727786
