"","area","week","x"
"110",14,7,3984.07334586542
"111",15,7,1117.27101210458
"112",16,7,765.800116457761
"113",1,8,3645.08570939571
"114",2,8,9868.73331234956
"115",3,8,4677.89610772309
"116",4,8,5618.91856117202
"117",5,8,11985.1966720619
"118",6,8,15316.7574636035
"119",7,8,23071.3506257788
"120",8,8,26337.3567665486
"121",9,8,12106.3432396098
"122",10,8,13236.8348699883
"123",11,8,8697.07213299145
"124",12,8,4429.11724435113
"125",13,8,6436.92903101095
"126",14,8,3946.90605955594
"127",15,8,1112.51778444836
"128",16,8,763.910922681528
"129",1,9,3623.71620479508
"130",2,9,9883.75908891595
"131",3,9,4679.86820488709
"132",4,9,5590.44138052248
"133",5,9,11944.6354582686
"134",6,9,15267.0726982003
"135",7,9,22904.4358918456
"136",8,9,26400.3226370329
"137",9,9,12074.3386897822
"138",10,9,13240.2172339337
"139",11,9,8625.21295096355
"140",12,9,4382.14321655529
"141",13,9,6408.53827221977
"142",14,9,3911.65469854794
"143",15,9,1108.15102355415
"144",16,9,762.221130283261
"145",1,10,3606.97863311677
"146",2,10,9898.97587944942
"147",3,10,4686.622926061
"148",4,10,5573.08368856467
"149",5,10,11920.5449721404
"150",6,10,15222.1619772286
"151",7,10,22741.7481835939
"152",8,10,26457.3990941746
"153",9,10,12058.7158571587
"154",10,10,13262.9419335562
"155",11,10,8568.5263458125
"156",12,10,4340.89702092944
"157",13,10,6388.0104084454
"158",14,10,3878.75259200046
"159",15,10,1104.58219262262
"160",16,10,760.167355890292
"161",1,11,3595.28740203448
"162",2,11,9914.21807039505
"163",3,11,4698.50594709518
"164",4,11,5567.65101176659
"165",5,11,11913.3096666121
"166",6,11,15183.492947665
"167",7,11,22586.0182861482
"168",8,11,26508.8034386801
"169",9,11,12059.8996215452
"170",10,11,13305.3502961369
"171",11,11,8527.80637196024
"172",12,11,4304.86448243144
"173",13,11,6375.19231519108
"174",14,11,3848.82714811798
"175",15,11,1101.27996751968
"176",16,11,758.633664537449
"177",1,12,3588.63589874585
"178",2,12,9929.14297540941
"179",3,12,4715.06280010282
"180",4,12,5574.15340954706
"181",5,12,11923.4763965677
"182",6,12,15151.1954429978
"183",7,12,22439.0270318918
"184",8,12,26555.5783626761
"185",9,12,12078.4278660118
"186",10,12,13366.4548782569
"187",11,12,8504.06102295653
"188",12,12,4275.04568464018
"189",13,12,6371.08510247509
"190",14,12,3821.91152369917
"191",15,12,1098.68958865643
"192",16,12,757.156944913297
"193",1,13,3587.61620785886
"194",2,13,9944.72661090501
"195",3,13,4736.33669480239
"196",4,13,5592.6773390775
"197",5,13,11951.494877846
"198",6,13,15126.6689294842
"199",7,13,22302.6641395459
"200",8,13,26597.7042845999
"201",9,13,12114.230936304
"202",10,13,13447.377188506
"203",11,13,8497.61958897556
"204",12,13,4251.73689861314
"205",13,13,6375.85186842325
"206",14,13,3798.44905699586
"207",15,13,1096.71283881083
"208",16,13,756.162991111743
"209",1,14,3592.00327047005
"210",2,14,9960.0817933522
"211",3,14,4762.6882159107
"212",4,14,5623.41977038354
"213",5,14,11996.7846511502
"214",6,14,15109.7620228704
"215",7,14,22178.3757923469
"216",8,14,26635.5313338628
"217",9,14,12166.7115153585
"218",10,14,13546.6636832332
"219",11,14,8508.5322166082
"220",12,14,4235.34842578493
"221",13,14,6388.88700538999
"222",14,14,3779.15803930474
"223",15,14,1095.58207667277
"224",16,14,755.281203642173
"225",1,15,3602.02436036407
"226",2,15,9975.80464990802
"227",3,15,4793.2494754216
"228",4,15,5666.12107181662
"229",5,15,12059.5144005459
"230",6,15,15100.5200719334
"231",7,15,22067.3626055306
"232",8,15,26668.2884562039
"233",9,15,12236.3771013923
"234",10,15,13663.6666369392
"235",11,15,8537.29783377237
"236",12,15,4226.40146344585
"237",13,15,6410.75898520987
"238",14,15,3764.10187289837
"239",15,15,1095.52422306012
"240",16,15,754.898451689637
"241",1,16,3617.23855006651
"242",2,16,9990.79153455238
"243",3,16,4828.06624999176
"244",4,16,5720.16681047691
"245",5,16,12138.8017207148
"246",6,16,15099.1512154085
"247",7,16,21970.2505967085
"248",8,16,26695.6428151149
"249",9,16,12322.3036737525
"250",10,16,13797.6110553305
"251",11,16,8583.34117037262
"252",12,16,4224.64295309002
"253",13,16,6441.27521689762
"254",14,16,3753.25960628973
"255",15,16,1095.87848332013
"256",16,16,754.92391632115
"257",1,17,3637.93374315063
"258",2,17,10005.0000664856
"259",3,17,4866.617096501
"260",4,17,5785.62394783156
"261",5,17,12234.2255512466
"262",6,17,15104.9139797991
"263",7,17,21887.7635021389
"264",8,17,26716.4507067776
"265",9,17,12423.7640882042
"266",10,17,13946.7151720656
"267",11,17,8646.94736754595
"268",12,17,4230.15941366488
"269",13,17,6480.24420454028
"270",14,17,3747.23181335685
"271",15,17,1097.28651227318
"272",16,17,754.946825359774
"273",1,18,3663.71703023321
"274",2,18,10017.8552844608
"275",3,18,4908.21806373786
"276",4,18,5861.29498680863
"277",5,18,12344.5969940046
"278",6,18,15117.7283388051
"279",7,18,21820.5559276571
"280",8,18,26729.3370335706
"281",9,18,12539.3636582069
"282",10,18,14109.1824424265
"283",11,18,8727.06520378525
"284",12,18,4243.62389283913
"285",13,18,6527.21212318168
"286",14,18,3745.58691602193
"287",15,18,1099.60465634102
"288",16,18,755.765956394488
"289",1,19,3694.26957398391
"290",2,19,10028.4322347953
"291",3,19,4952.50944506072
"292",4,19,5946.65859910978
"293",5,19,12468.3318090444
"294",6,19,15136.9386904358
"295",7,19,21767.9823381892
"296",8,19,26733.2163789128
"297",9,19,12667.846999593
"298",10,19,14283.4762398414
"299",11,19,8823.52220003157
"300",12,19,4264.36054129394
"301",13,19,6581.65020566804
"302",14,19,3748.74490506305
"303",15,19,1102.74472491209
"304",16,19,757.086700505136
"305",1,20,3729.06172666047
"306",2,20,10036.6659153211
"307",3,20,4999.13234201351
"308",4,20,6040.8169584481
"309",5,20,12604.0937279578
"310",6,20,15161.6444353237
"311",7,20,21730.9532989663
"312",8,20,26726.5138185409
"313",9,20,12807.414973203
"314",10,20,14466.7586794678
"315",11,20,8934.67450815431
"316",12,20,4292.25766389422
"317",13,20,6642.32024772662
"318",14,20,3756.58964211774
"319",15,20,1106.61118462484
"320",16,20,758.442780604645
"321",1,21,3768.36764842624
"322",2,21,10041.171065613
"323",3,21,5046.56804619099
"324",4,21,6142.34604747063
"325",5,21,12749.8529867359
"326",6,21,15191.0760204241
"327",7,21,21708.8777902946
"328",8,21,26707.6049787118
"329",9,21,12956.4296509153
"330",10,21,14656.7164140569
"331",11,21,9059.86612877097
"332",12,21,4327.20379775548
"333",13,21,6709.0100756745
"334",14,21,3769.29229702932
"335",15,21,1111.58586703287
"336",16,21,760.384685442471
"337",1,22,3810.82134834591
"338",2,22,10041.8433709436
"339",3,22,5094.67458170727
"340",4,22,6250.38857476995
"341",5,22,12904.2213547095
"342",6,22,15224.1339822441
"343",7,22,21701.4155745467
"344",8,22,26675.461612604
"345",9,22,13112.6825374738
"346",10,22,14849.9031639101
"347",11,22,9197.12977818094
"348",12,22,4368.61375499765
"349",13,22,6781.00332676722
"350",14,22,3786.51138531352
"351",15,22,1117.08513702371
"352",16,22,762.929251183562
"353",1,23,3856.28743725713
"354",2,23,10037.5971806461
"355",3,23,5142.27882907717
"356",4,23,6362.98589967868
"357",5,23,13063.9530522523
"358",6,23,15260.1754656523
"359",7,23,21708.9227716289
"360",8,23,26628.8735035989
"361",9,23,13273.8468837199
"362",10,23,15044.0609072233
"363",11,23,9344.71229014656
"364",12,23,4416.42257309937
"365",13,23,6856.92912106035
"366",14,23,3807.90271243271
"367",15,23,1123.18933882305
"368",16,23,765.522672804476
"369",1,24,3903.99972856779
"370",2,24,10028.8191640855
"371",3,24,5189.32513633447
"372",4,24,6478.55060815319
"373",5,24,13227.2792363633
"374",6,24,15298.27352092
"375",7,24,21731.1221396137
"376",8,24,26566.6786862559
"377",9,24,13437.6125858159
"378",10,24,15236.0793663078
"379",11,24,9500.64305783827
"380",12,24,4469.32939889649
"381",13,24,6935.48669927967
"382",14,24,3833.64067857508
"383",15,24,1130.37503731041
"384",16,24,768.335438199542
"385",1,25,3953.46153644869
"386",2,25,10014.625976214
"387",3,25,5233.82131952278
"388",4,25,6595.97902045637
"389",5,25,13392.0285565841
"390",6,25,15337.9757540539
"391",7,25,21767.3227699069
"392",8,25,26489.0210039123
"393",9,25,13600.7414974777
"394",10,25,15422.6732996773
"395",11,25,9663.20857519015
"396",12,25,4527.51575335312
"397",13,25,7016.56838993609
"398",14,25,3863.00488398367
"399",15,25,1137.3016950617
"400",16,25,771.645952255086
"401",1,26,4003.48351754582
"402",2,26,9995.23203330871
"403",3,26,5276.00623160336
"404",4,26,6713.00798588787
"405",5,26,13554.9330661377
"406",6,26,15378.2209867466
"407",7,26,21816.8836528241
"408",8,26,26395.3576546309
"409",9,26,13762.076775021
"410",10,26,15601.0197439874
"411",11,26,9829.67990575445
"412",12,26,4589.41761305649
"413",13,26,7097.74084367522
"414",14,26,3895.86888242673
"415",15,26,1145.45333204162
"416",16,26,775.239518393792
"417",1,27,4053.67154502318
"418",2,27,9970.61951773386
"419",3,27,5314.49826523561
"420",4,27,6828.10636696008
"421",5,27,13714.0091451324
"422",6,27,15418.9497487738
"423",7,27,21879.9666358782
"424",8,27,26286.9871974476
"425",9,27,13918.1836523163
"426",10,27,15767.9091268634
"427",11,27,9998.42130616225
"428",12,27,4654.89870408952
"429",13,27,7178.22895585132
"430",14,27,3931.50953367974
"431",15,27,1153.56980001481
"432",16,27,779.099448241334
"433",1,28,4103.50967895852
"434",2,28,9941.12111377191
"435",3,28,5349.29408901278
"436",4,28,6939.62163663204
"437",5,28,13866.530113846
"438",6,28,15459.3679283576
"439",7,28,21956.2339747773
"440",8,28,26164.1128320564
"441",9,28,14066.437155541
"442",10,28,15921.2939647002
"443",11,28,10166.0550521252
"444",12,28,4722.79563231624
"445",13,28,7256.84215390152
"446",14,28,3969.94398699453
"447",15,28,1162.06902316515
"448",16,28,783.093019221981
"449",1,29,4151.58499253087
"450",2,29,9907.33840872189
"451",3,29,5379.31366818507
"452",4,29,7045.35454822732
"453",5,29,14009.9762627326
"454",6,29,15499.0729814769
"455",7,29,22044.7407433252
"456",8,29,26029.0473636834
"457",9,29,14205.4120593253
"458",10,29,16058.0228354017
"459",11,29,10330.4172617295
"460",12,29,4791.79395699571
"461",13,29,7332.48524558558
"462",14,29,4010.22455736166
"463",15,29,1170.77791765639
"464",16,29,787.137638243481
"465",1,30,4198.19216132796
"466",2,30,9870.21419574051
"467",3,30,5404.47388271833
"468",4,30,7144.66288713302
"469",5,30,14142.2570206246
"470",6,30,15538.1259266707
"471",7,30,22145.3926734545
"472",8,30,25884.2543131692
"473",9,30,14332.0029260481
"474",10,30,16176.0112154947
"475",11,30,10489.2174816647
"476",12,30,4861.82047651724
"477",13,30,7403.75005611261
"478",14,30,4052.11737408895
"479",15,30,1179.40028914478
"480",16,30,791.097849627958
"481",1,31,4241.6077703123
"482",2,31,9830.36490805849
"483",3,31,5424.02486727728
"484",4,31,7235.02681529141
"485",5,31,14261.7045222539
"486",6,31,15576.0668188679
"487",7,31,22258.0426390219
"488",8,31,25731.8839238537
"489",9,31,14445.3366496613
"490",10,31,16273.7943917688
